contaminante,fecha,estacion,observado,predicho_idw,residuo,error_abs
PM2.5,1970-01-01 00:00:00.000000008,Bolivia,11.718876080691642,12.15190947666195,0.433033395970309,0.433033395970309
PM2.5,1970-01-01 00:00:00.000000008,Bolivia,9.30618846694796,12.15190947666195,2.8457210097139907,2.8457210097139907
PM2.5,1970-01-01 00:00:00.000000008,Carvajal - Sevillana,25.56338028169014,29.69384835479256,4.130468073102421,4.130468073102421
PM2.5,1970-01-01 00:00:00.000000008,Carvajal - Sevillana,29.69384835479256,25.56338028169014,-4.130468073102421,4.130468073102421
PM2.5,1970-01-01 00:00:00.000000008,Carvajal - Sevillana,30.17,25.56338028169014,-4.606619718309862,4.606619718309862
PM2.5,1970-01-01 00:00:00.000000008,Carvajal - Sevillana,29.53295932678822,25.56338028169014,-3.9695790450980795,3.9695790450980795
PM2.5,1970-01-01 00:00:00.000000008,Carvajal - Sevillana,32.05890603085554,25.56338028169014,-6.495525749165399,6.495525749165399
PM2.5,1970-01-01 00:00:00.000000008,Centro de Alto Rendimiento,8.267663817663816,10.16619718309859,1.8985333654347745,1.8985333654347745
PM2.5,1970-01-01 00:00:00.000000008,Centro de Alto Rendimiento,10.16619718309859,8.267663817663816,-1.8985333654347745,1.8985333654347745
PM2.5,1970-01-01 00:00:00.000000008,Centro de Alto Rendimiento,10.285714285714286,8.267663817663816,-2.01805046805047,2.01805046805047
PM2.5,1970-01-01 00:00:00.000000008,Centro de Alto Rendimiento,10.123769338959212,8.267663817663816,-1.8561055212953956,1.8561055212953956
PM2.5,1970-01-01 00:00:00.000000008,Centro de Alto Rendimiento,9.039099859353025,8.267663817663816,-0.7714360416892081,0.7714360416892081
PM2.5,1970-01-01 00:00:00.000000008,Ciudad Bolivar,11.502133712660028,13.808136217360836,2.3060025047008086,2.3060025047008086
PM2.5,1970-01-01 00:00:00.000000008,Colina,4.632531824611032,8.302839116719243,3.6703072921082107,3.6703072921082107
PM2.5,1970-01-01 00:00:00.000000008,Colina,8.302839116719243,4.632531824611032,-3.6703072921082107,3.6703072921082107
PM2.5,1970-01-01 00:00:00.000000008,Colina,7.064756446991404,4.632531824611032,-2.432224622380372,2.432224622380372
PM2.5,1970-01-01 00:00:00.000000008,Colina,8.944647887323944,4.632531824611032,-4.312116062712912,4.312116062712912
PM2.5,1970-01-01 00:00:00.000000008,Fontibon,13.948433048433047,16.806122448979593,2.857689400546546,2.857689400546546
PM2.5,1970-01-01 00:00:00.000000008,Fontibon,16.806122448979593,13.948433048433047,-2.857689400546546,2.857689400546546
PM2.5,1970-01-01 00:00:00.000000008,Fontibon,16.666760563380283,13.948433048433047,-2.7183275149472355,2.7183275149472355
PM2.5,1970-01-01 00:00:00.000000008,Fontibon,15.504494382022472,13.948433048433047,-1.5560613335894242,1.5560613335894242
PM2.5,1970-01-01 00:00:00.000000008,Fontibon,18.379125528913963,13.948433048433047,-4.430692480480916,4.430692480480916
PM2.5,1970-01-01 00:00:00.000000008,Guaymaral,8.77247191011236,8.719322990126939,-0.05314891998542137,0.05314891998542137
PM2.5,1970-01-01 00:00:00.000000008,Guaymaral,8.719322990126939,8.77247191011236,0.05314891998542137,0.05314891998542137
PM2.5,1970-01-01 00:00:00.000000008,Guaymaral,12.707865168539326,8.77247191011236,-3.9353932584269664,3.9353932584269664
PM2.5,1970-01-01 00:00:00.000000008,Guaymaral,10.307042253521129,8.77247191011236,-1.5345703434087685,1.5345703434087685
PM2.5,1970-01-01 00:00:00.000000008,Guaymaral,12.59353023909986,8.77247191011236,-3.8210583289874993,3.8210583289874993
