Año,Mes,Estacion,Localidad,Fuente,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,dias_esperados,n_Temp,n_HR,n_Viento,n_Presion,n_Precip
2020,8,Movil Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,8,Puente Aranda,Puente Aranda,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,8,SUBA,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,8,San Cristobal,San Cristóbal,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,8,Suba,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,8,Tunal,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,8,Usaquen,Usaquén,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,9,Bolivia,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Colina,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Guaymaral,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Kennedy,Kennedy,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Las Ferias,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,MinAmbiente,Teusaquillo,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Movil Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Puente Aranda,Puente Aranda,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,SUBA,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,San Cristobal,San Cristóbal,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Suba,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Tunal,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,9,Usaquen,Usaquén,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
