LocNombre,pollutant,endpoint_group,endpoint,casos_totales,valor_total_cop,poblacion_total,casos_x_100k,valor_percapita_cop
CHAPINERO,O3,Mortality,Respiratory mortality,0.05279785597890639,1274699920.996448,372926.6487551234,0.014157705316890696,3418.098237955262
CHAPINERO,PM25,Mortality,All-cause mortality,0.030182155158155314,728688506.0441428,372926.6487551234,0.008093322174456342,1953.972740957499
CIUDAD BOLIVAR,NO2,Hospital Admissions,Asthma,1.0093655636715462,31442913.986368164,1275520.6809813357,0.07913361019712983,24.651042084380173
CIUDAD BOLIVAR,NO2,Hospital Admissions,Chronic Lung Disease,0.7505912060667582,32006324.59286659,1275520.6809813357,0.05884586720219093,25.092752371715505
CIUDAD BOLIVAR,O3,Mortality,Respiratory mortality,0.17709804569099416,4275682424.3227835,1275520.6809813357,0.013884372737472343,3352.1074868290184
CIUDAD BOLIVAR,PM25,Mortality,All-cause mortality,0.10562358586832217,2550072802.492246,1275520.6809813357,0.008280821114327956,1999.2406556123574
ENGATIVA,NO2,Hospital Admissions,Asthma,0.2785269955227835,8676440.606165005,352045.9179050161,0.07911666670650945,24.64576398953149
ENGATIVA,NO2,Hospital Admissions,Chronic Lung Disease,0.2071205971513733,8831930.095522072,352045.9179050161,0.0588334040013654,25.087437877649172
ENGATIVA,O3,Mortality,Respiratory mortality,0.05009957696423053,1209555305.1202312,352045.9179050161,0.014230977953775809,3435.7884684990886
ENGATIVA,PM25,Mortality,All-cause mortality,0.028344018979562388,684310339.579027,352045.9179050161,0.00805122784784278,1943.809897445417
FONTIBON,NO2,Hospital Admissions,Asthma,0.28781115914655464,8965653.126152063,326538.43538635905,0.0881400557964999,27.45665488212417
FONTIBON,NO2,Hospital Admissions,Chronic Lung Disease,0.214062786635978,9127955.372974738,326538.43538635905,0.06555515781249449,27.953693604780632
FONTIBON,O3,Mortality,Respiratory mortality,0.0486068846132434,1173517197.386548,326538.43538635905,0.014885501780435715,3593.810315156459
FONTIBON,PM25,Mortality,All-cause mortality,0.029357848144308342,708787241.7608482,326538.43538635905,0.008990625593453415,2170.608923639307
KENNEDY,NO2,Hospital Admissions,Asthma,0.3313479711289409,10321875.57287733,378621.53686336306,0.08751429564042938,27.261723298646608
KENNEDY,NO2,Hospital Admissions,Chronic Lung Disease,0.24643568558101756,10508383.898212282,378621.53686336306,0.06508760373817596,27.754321598468785
KENNEDY,O3,Mortality,Respiratory mortality,0.055021474345426896,1328384793.3000195,378621.53686336306,0.014532050870968559,3508.476576120938
KENNEDY,PM25,Mortality,All-cause mortality,0.03493414105316433,843415817.0804895,378621.53686336306,0.009226665060464155,2227.5959895669153
LOS MARTIRES,NO2,Hospital Admissions,Asthma,0.051703509939318534,1610624.6084935192,63911.56329621607,0.0808985217583931,25.2008326103467
LOS MARTIRES,NO2,Hospital Admissions,Chronic Lung Disease,0.03844728301696847,1639449.290117919,63911.56329621607,0.06015700607849905,25.65184147537483
LOS MARTIRES,O3,Mortality,Respiratory mortality,0.007872547787177674,190067112.69422275,63911.56329621607,0.012317877049400502,2973.908051870104
LOS MARTIRES,PM25,Mortality,All-cause mortality,0.00509222570930754,122941729.14793527,63911.56329621607,0.007967612504964387,1923.6226248781827
PUENTE ARANDA,NO2,Hospital Admissions,Asthma,0.1518775720050337,4731163.4207551405,169848.67937511925,0.08941934230151095,27.855167541845475
PUENTE ARANDA,NO2,Hospital Admissions,Chronic Lung Disease,0.11295954545824577,4816762.904464036,169848.67937511925,0.06650598984568436,28.359142515473884
PUENTE ARANDA,O3,Mortality,Respiratory mortality,0.019759520751884682,477054590.08445126,169848.67937511925,0.011633602819039175,2808.703558011496
PUENTE ARANDA,PM25,Mortality,All-cause mortality,0.014812570168125944,357620241.82588,169848.67937511925,0.008721039352570795,2105.522651936892
RAFAEL URIBE URIBE,NO2,Hospital Admissions,Asthma,0.10806853915674351,3366460.976712768,135733.0117693381,0.07961846403319553,24.80207970654672
RAFAEL URIBE URIBE,NO2,Hospital Admissions,Chronic Lung Disease,0.08036594927595347,3426923.5210187673,135733.0117693381,0.059208845533115936,25.24753172678737
RAFAEL URIBE URIBE,O3,Mortality,Respiratory mortality,0.017181978233921008,414824918.38479114,135733.0117693381,0.012658658354328504,3056.1829652003603
RAFAEL URIBE URIBE,PM25,Mortality,All-cause mortality,0.011280145764988274,272336833.5487626,135733.0117693381,0.008310539652768865,2006.415609575998
SAN CRISTOBAL,NO2,Hospital Admissions,Asthma,0.3720646601618704,11590247.902140493,481725.6252340402,0.07723580409099216,24.05985335845383
SAN CRISTOBAL,NO2,Hospital Admissions,Chronic Lung Disease,0.2766572880161101,11797077.942901248,481725.6252340402,0.05743046944652357,24.4892057323498
SAN CRISTOBAL,O3,Mortality,Respiratory mortality,0.06529315264622929,1576374172.3339849,481725.6252340402,0.013554012746261411,3272.348593804043
SAN CRISTOBAL,PM25,Mortality,All-cause mortality,0.03790113570968988,915048041.2333223,481725.6252340402,0.007867784839404401,1899.5212073029288
SANTA FE,NO2,Hospital Admissions,Asthma,0.3493280876357643,10881977.162565498,443191.64603509073,0.07882100007095022,24.553660385791414
SANTA FE,NO2,Hospital Admissions,Chronic Lung Disease,0.2597706085730747,11077004.833622897,443191.64603509073,0.05861360675388425,24.993713064586622
SANTA FE,O3,Mortality,Respiratory mortality,0.06093473782157044,1471148857.2211523,443191.64603509073,0.013749071844360937,3319.4417592985737
SANTA FE,PM25,Mortality,All-cause mortality,0.03528571742793242,851903934.0472116,443191.64603509073,0.007961728914253629,1922.2021481419354
