Año,Mes,Estacion,NO2,O3,PM25,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,valido_NO2,valido_O3,valido_PM25
2020,2,Puente Aranda,23.97155824508321,10.17238239757208,27.16132930513595,0.9497126436781608,0.9468390804597702,0.9511494252873564,True,True,True
2020,2,San Cristobal,,13.280150375939847,17.58078078078078,,0.9554597701149424,0.956896551724138,False,True,True
2020,2,Suba,,16.308721804511276,22.71860816944024,,0.9554597701149424,0.9497126436781608,False,True,True
2020,2,Tunal,16.562178517397882,15.170481927710844,21.34182908545727,0.9497126436781608,0.9540229885057472,0.9583333333333334,True,True,True
2020,2,Usaquen,,16.833557046979866,22.500758725341427,,0.2140804597701149,0.9468390804597702,False,False,True
2020,3,Carvajal - Sevillana,2.8480959097320167,,43.73153409090909,0.952956989247312,,0.946236559139785,True,False,True
2020,3,Centro de Alto Rendimiento,16.48187134502924,30.935177304964537,32.57886904761905,0.6895161290322581,0.9475806451612904,0.9032258064516128,False,True,True
2020,3,Fontibon,17.485714285714284,27.23048433048433,37.47248226950354,0.9502688172043012,0.9435483870967742,0.9475806451612904,True,True,True
2020,3,Guaymaral,11.891210374639767,26.14207317073171,29.78954802259887,0.9327956989247312,0.8817204301075269,0.9516129032258064,True,True,True
2020,3,Kennedy,18.68236953455571,29.263366336633663,38.65169971671388,0.952956989247312,0.9502688172043012,0.9489247311827956,True,True,True
2020,3,Las Ferias,19.19559659090909,21.35643564356436,34.273371104815865,0.946236559139785,0.9502688172043012,0.9489247311827956,True,True,True
2020,3,MinAmbiente,,21.688210227272727,29.034045584045582,,0.946236559139785,0.9435483870967742,False,True,True
2020,3,Puente Aranda,17.987659574468083,16.402266288951843,37.35702127659575,0.9475806451612904,0.9489247311827956,0.9475806451612904,True,True,True
2020,3,San Cristobal,,19.14794908062235,28.54950354609929,,0.9502688172043012,0.9475806451612904,False,True,True
2020,3,Suba,,26.820281690140845,33.22065063649222,,0.9543010752688172,0.9502688172043012,False,True,True
2020,3,Tunal,15.577571428571428,20.310098176718093,31.9789029535865,0.9408602150537636,0.9583333333333334,0.9556451612903226,True,True,True
2020,3,Usaquen,,30.19043062200957,33.31040787623066,,0.5618279569892473,0.9556451612903226,False,False,True
2020,4,Carvajal - Sevillana,2.2534918276374443,,19.86755952380953,0.9347222222222222,,0.9333333333333332,True,False,True
2020,4,Centro de Alto Rendimiento,8.422238586156112,27.08525547445256,13.598102189781024,0.9430555555555556,0.9513888888888888,0.9513888888888888,True,True,True
2020,4,Fontibon,10.848613138686131,21.872873900293254,18.376392961876835,0.9513888888888888,0.9472222222222222,0.9472222222222222,True,True,True
2020,4,Guaymaral,9.34191419141914,18.862587412587413,14.48358208955224,0.8416666666666667,0.7944444444444444,0.9305555555555556,True,True,True
2020,4,Kennedy,15.013642960812772,21.87973760932945,18.430088495575223,0.9569444444444444,0.9527777777777776,0.9416666666666668,True,True,True
2020,4,Las Ferias,9.25550527903469,19.62796052631579,12.566243194192378,0.9208333333333332,0.8444444444444444,0.7652777777777777,True,True,True
2020,4,MinAmbiente,,19.193026706231453,12.78972099853157,,0.9361111111111112,0.9458333333333332,False,True,True
