year,month,n_total,n_flag_iqr15,n_flag_iqr30,mean_value,std_value,variable,pct_flag_iqr15,pct_flag_iqr30
2024,12,254,73,60,-2.5788645060190644e-17,3.322587198577416,diff_NO2_grid,28.74015748031496,23.62204724409449
2020,1,254,12,9,9.301349070031045e-05,0.00017730724481661663,grad_NO2_grid,4.724409448818897,3.543307086614173
2020,2,254,36,13,0.00013491068301162243,0.00023989434477667435,grad_NO2_grid,14.173228346456693,5.118110236220472
2020,3,254,23,9,0.00010829074975510939,0.00020405659118087708,grad_NO2_grid,9.05511811023622,3.543307086614173
2020,4,254,12,8,5.900709861476285e-05,0.00014670971309342586,grad_NO2_grid,4.724409448818897,3.1496062992125986
2020,5,254,15,9,8.30478092491319e-05,0.00016671962529060232,grad_NO2_grid,5.905511811023622,3.543307086614173
2020,6,254,14,7,7.557655149442334e-05,0.0001496304960093985,grad_NO2_grid,5.511811023622047,2.7559055118110236
2020,7,254,16,8,8.811264679391633e-05,0.00016432378525783518,grad_NO2_grid,6.299212598425197,3.1496062992125986
2020,8,254,14,8,8.758564220243532e-05,0.00015411365586313525,grad_NO2_grid,5.511811023622047,3.1496062992125986
2020,9,254,25,7,0.0001131092739515784,0.00019537198270737463,grad_NO2_grid,9.84251968503937,2.7559055118110236
2020,10,254,17,6,8.914800142104546e-05,0.0001508840493439934,grad_NO2_grid,6.692913385826771,2.3622047244094486
2020,11,254,24,11,0.0001065172565121257,0.00020925378446324226,grad_NO2_grid,9.448818897637794,4.330708661417323
2020,12,254,29,16,0.00011886863997387702,0.000211111269583597,grad_NO2_grid,11.417322834645669,6.299212598425197
2021,1,254,7,0,4.6096047124214606e-05,8.478490617168984e-05,grad_NO2_grid,2.7559055118110236,0.0
2021,2,254,18,1,7.827059389443773e-05,0.00012681400997576655,grad_NO2_grid,7.086614173228346,0.3937007874015748
2021,3,254,13,1,6.007073591819702e-05,0.00010220728563197369,grad_NO2_grid,5.118110236220472,0.3937007874015748
2021,4,254,24,3,8.489962860257833e-05,0.0001397359252802376,grad_NO2_grid,9.448818897637794,1.1811023622047243
2021,5,254,18,2,7.459305320673324e-05,0.00012523394721012719,grad_NO2_grid,7.086614173228346,0.7874015748031497
2021,6,254,25,10,9.409641944061629e-05,0.00016440780484179517,grad_NO2_grid,9.84251968503937,3.937007874015748
2021,7,254,36,16,0.00012086968452679934,0.00019764507902567664,grad_NO2_grid,14.173228346456693,6.299212598425197
2021,8,254,44,22,0.0001686149630315934,0.0002469271453689624,grad_NO2_grid,17.322834645669293,8.661417322834646
2021,9,254,45,22,0.00016745702703512612,0.00021377026572135457,grad_NO2_grid,17.716535433070867,8.661417322834646
2021,10,254,39,15,0.00012351668663557308,0.00019989663993311133,grad_NO2_grid,15.354330708661417,5.905511811023622
2021,11,254,27,9,9.185994413445378e-05,0.00015763819027845134,grad_NO2_grid,10.62992125984252,3.543307086614173
2021,12,254,27,12,9.55834015908529e-05,0.00017382112931236588,grad_NO2_grid,10.62992125984252,4.724409448818897
2022,1,254,32,12,0.00010894385698058638,0.0001825975518452585,grad_NO2_grid,12.598425196850394,4.724409448818897
2022,2,254,7,3,5.3348612261327546e-05,0.00012253777751348934,grad_NO2_grid,2.7559055118110236,1.1811023622047243
2022,3,254,34,14,0.00011798028086002956,0.0002031230471989339,grad_NO2_grid,13.385826771653543,5.511811023622047
2022,4,254,35,11,0.00011831209770906264,0.0001965093214819595,grad_NO2_grid,13.779527559055119,4.330708661417323
2022,5,254,37,13,0.00011768254380780283,0.00018991528954650605,grad_NO2_grid,14.566929133858268,5.118110236220472
2022,6,254,35,12,0.00012234171824282347,0.00018000865856538718,grad_NO2_grid,13.779527559055119,4.724409448818897
2022,7,254,30,12,0.00011327823657510054,0.00017167643702072885,grad_NO2_grid,11.811023622047244,4.724409448818897
2022,8,254,35,16,0.00013085102000991955,0.0001928299000697513,grad_NO2_grid,13.779527559055119,6.299212598425197
2022,9,254,35,20,0.0001412567453909362,0.0002397625620867234,grad_NO2_grid,13.779527559055119,7.874015748031496
2022,10,254,43,26,0.00014669323571450966,0.00024910414139329046,grad_NO2_grid,16.929133858267715,10.236220472440944
2022,11,254,38,24,0.00013432196394763844,0.00025439625577171674,grad_NO2_grid,14.960629921259843,9.448818897637794
2022,12,254,45,27,0.00014495145052017953,0.0002670479103529717,grad_NO2_grid,17.716535433070867,10.62992125984252
2023,1,254,41,24,0.00013599463646419,0.00024746669924510285,grad_NO2_grid,16.141732283464567,9.448818897637794
2023,2,254,45,30,0.00015834539606443833,0.00026471013298063386,grad_NO2_grid,17.716535433070867,11.811023622047244
2023,3,254,44,24,0.00014681069386150125,0.0002492094750521493,grad_NO2_grid,17.322834645669293,9.448818897637794
2023,4,254,39,19,0.00013976164834955318,0.0002320815213419337,grad_NO2_grid,15.354330708661417,7.480314960629921
2023,5,254,39,18,0.00012427576609399228,0.00020982733281807206,grad_NO2_grid,15.354330708661417,7.086614173228346
2023,6,254,42,18,0.00012352147483337344,0.00020005809238725112,grad_NO2_grid,16.53543307086614,7.086614173228346
2023,7,254,39,17,0.00011571702440940207,0.00018654415606886017,grad_NO2_grid,15.354330708661417,6.692913385826771
2023,8,254,34,17,0.00012193953863589205,0.0001890744581879482,grad_NO2_grid,13.385826771653543,6.692913385826771
2023,9,254,45,27,0.00016103137940459898,0.000268360143183512,grad_NO2_grid,17.716535433070867,10.62992125984252
2023,10,254,42,20,0.00013992633116444435,0.00022790670655581418,grad_NO2_grid,16.53543307086614,7.874015748031496
2023,11,254,33,13,0.00012506469687827886,0.00018454186368955562,grad_NO2_grid,12.992125984251969,5.118110236220472
2023,12,254,32,10,0.0001157591613013399,0.00016854710879137251,grad_NO2_grid,12.598425196850394,3.937007874015748
2024,1,254,34,14,0.00012380050130048403,0.00019004292680699204,grad_NO2_grid,13.385826771653543,5.511811023622047
2024,2,254,32,11,0.00011294599347797927,0.00017637060055558803,grad_NO2_grid,12.598425196850394,4.330708661417323
2024,3,254,38,10,0.00010789742504997986,0.00018004197712795782,grad_NO2_grid,14.960629921259843,3.937007874015748
2024,4,254,41,17,0.00013050778713671876,0.00020772550076057978,grad_NO2_grid,16.141732283464567,6.692913385826771
2024,5,254,49,27,0.00015091272339469507,0.00023269140147804746,grad_NO2_grid,19.291338582677167,10.62992125984252
2024,6,254,39,18,0.00013851731966621836,0.00019164885097307306,grad_NO2_grid,15.354330708661417,7.086614173228346
2024,7,254,37,19,0.00012846252305535164,0.00020925017389101665,grad_NO2_grid,14.566929133858268,7.480314960629921
2024,8,254,37,18,0.0001244949437982121,0.00022005658175619245,grad_NO2_grid,14.566929133858268,7.086614173228346
2024,9,254,20,9,9.058611429855748e-05,0.0001580160601404848,grad_NO2_grid,7.874015748031496,3.543307086614173
2024,10,254,18,8,9.069386782400379e-05,0.00017012623046534314,grad_NO2_grid,7.086614173228346,3.1496062992125986
2024,11,254,37,16,0.0001270075980440382,0.00022353886936602436,grad_NO2_grid,14.566929133858268,6.299212598425197
