cell_id,area_m2,centroid_x,centroid_y
353,2918.0571355418906,985628.0468396808,979372.3923923672
360,2651751.191598284,984975.6384462419,1002454.7174128459
361,2134019.132302865,984941.4849474457,1004169.7136197115
379,5600912.697614539,987242.9443243433,936386.1677369857
380,9000000.0,987146.6955728917,938837.5290631294
381,9000000.0,987146.6955728917,941837.5290631294
382,9000000.0,987146.6955728917,944837.5290631294
383,9000000.0,987146.6955728917,947837.5290631294
384,9000000.0,987146.6955728917,950837.5290631294
385,9000000.0,987146.6955728917,953837.5290631294
386,9000000.0,987146.6955728917,956837.5290631294
387,8991561.021996254,987148.077420146,959836.5458120146
388,8832526.601487854,987173.8359547835,962838.487671322
389,9000000.0,987146.6955728917,965837.5290631294
390,9000000.0,987146.6955728917,968837.5290631294
391,9000000.0,987146.6955728917,971837.5290631294
392,9000000.0,987146.6955728917,974837.5290631294
393,9000000.0,987146.6955728917,977837.5290631296
394,6692110.32047112,987471.8835903013,980645.8510066113
395,2963501.080707538,988106.6337925364,983581.2156618959
396,725005.8844791459,988469.0294805423,986290.3596208049
397,258193.93645762332,988507.8040990244,990699.7978636695
398,1032740.9149184937,988364.3950135265,992481.9051642439
400,715525.8155692789,988240.0005077774,999860.1602151636
401,8866601.859866701,987163.7948310866,1001858.7288030564
402,7838427.67744991,987212.5506725303,1004669.3901822567
403,69508.39777186186,987209.2665800116,1006413.9113581018
420,4667636.857867901,990135.9741037377,936548.2231217048
421,9000000.0,990146.6955728917,938837.5290631294
422,9000000.0,990146.6955728917,941837.5290631294
423,9000000.0,990146.6955728917,944837.5290631294
424,9000000.0,990146.6955728917,947837.5290631294
425,9000000.0,990146.6955728917,950837.5290631294
426,9000000.0,990146.6955728917,953837.5290631294
427,9000000.0,990146.6955728917,956837.5290631294
428,9000000.0,990146.6955728917,959837.5290631294
429,9000000.0,990146.6955728917,962837.5290631294
430,9000000.0,990146.6955728917,965837.5290631294
431,9000000.0,990146.6955728917,968837.5290631294
432,9000000.0,990146.6955728917,971837.5290631294
433,9000000.0,990146.6955728917,974837.5290631294
434,9000000.0,990146.6955728917,977837.5290631296
435,9000000.0,990146.6955728917,980837.5290631296
436,9000000.0,990146.6955728917,983837.5290631296
437,8913295.479730088,990160.6017750048,986826.6767098395
438,8494527.990229297,990221.2455828369,989818.7240345358
439,8498815.260543287,990217.4226463361,992773.0963128295
440,7880859.476185946,990328.6982222815,995875.551201803
441,8741583.10387075,990184.4379105658,998873.6581415819
442,9000000.0,990146.6955728917,1001837.5290631296
443,8993978.15379854,990147.6662448269,1004836.5425849381
444,4643450.469746501,990702.3313746045,1007819.619186941
445,5844706.327345166,990614.9618620013,1010811.6190608634
446,823218.6036648462,991326.5822157884,1013453.4305460721
461,2334174.5611903127,992201.1677228926,936385.0802919073
462,7603316.898497585,992944.397337147,938967.2523802359
463,8157186.998128971,993023.0500692322,941748.1657043252
464,8427722.25505736,993061.6879334801,944903.383529545
465,9000000.0,993146.6955728917,947837.5290631294
466,9000000.0,993146.6955728917,950837.5290631294
467,8999424.982697431,993146.5998765662,953837.4669545903
468,6168104.033174233,992731.3581793399,956644.8002222497
469,3835539.4172759415,992349.22577111,959589.8379287532
470,1510585.5723614919,992021.646069956,963342.4108451377
471,5729694.703135537,992667.5622636094,966062.4582788501
472,8877443.341182223,993127.7294627421,968855.2332464055
473,9000000.0,993146.6955728917,971837.5290631294
474,9000000.0,993146.6955728917,974837.5290631294
475,9000000.0,993146.6955728917,977837.5290631296
476,9000000.0,993146.6955728917,980837.5290631296
477,9000000.0,993146.6955728917,983837.5290631296
478,9000000.0,993146.6955728917,986837.5290631296
479,9000000.0,993146.6955728917,989837.5290631296
480,9000000.0,993146.6955728917,992837.5290631296
481,9000000.0,993146.6955728917,995837.5290631296
482,9000000.0,993146.6955728917,998837.5290631296
483,9000000.0,993146.6955728917,1001837.5290631296
484,9000000.0,993146.6955728917,1004837.5290631296
485,9000000.0,993146.6955728917,1007837.5290631296
486,9000000.0,993146.6955728917,1010837.5290631296
487,6807788.063982192,993231.2605512444,1013493.4178226622
488,628281.4572805805,994391.2746005952,1016087.9591638239
503,11104.002022484416,994680.0384117162,940261.6408487079
504,59631.91084927869,994687.2234238628,940677.5421761177
505,3061237.820539352,995813.1829560171,945749.903897147
506,7281431.069231696,995971.6555012031,947603.4602020351
