run_id,pollutant,endpoint,Localidad,avoided_cases_total,economic_value_total_cop_2015,participacion_casos_pct,participacion_cop_pct
NO2_CLD,NO2,Chronic Lung Disease,SAN CRISTOBAL,0.3059868771662288,13047735.215364184,3.2365391731459106,3.236539173145911
NO2_CLD,NO2,Chronic Lung Disease,SANTA FE,0.2953267656408685,12593172.216332067,3.1237831332089776,3.1237831332089776
NO2_CLD,NO2,Chronic Lung Disease,FONTIBON,0.234948520865137,10018554.121928576,2.4851395540064405,2.48513955400644
NO2_CLD,NO2,Chronic Lung Disease,KENNEDY,0.23152085875640188,9872393.515249303,2.44888387274988,2.44888387274988
NO2_CLD,NO2,Chronic Lung Disease,ENGATIVA,0.2037299561590628,8687348.124269778,2.154928962832267,2.1549289628322668
NO2_CLD,NO2,Chronic Lung Disease,CHAPINERO,0.19957852694238098,8510325.012408793,2.1110177225569733,2.1110177225569733
NO2_CLD,NO2,Chronic Lung Disease,PUENTE ARANDA,0.1281865567110297,5466065.295428218,1.3558777948524618,1.3558777948524623
NO2_CLD,NO2,Chronic Lung Disease,BOSA,0.1216477777399909,5187242.041842878,1.2867146513859764,1.2867146513859764
NO2_CLD,NO2,Chronic Lung Disease,RAFAEL URIBE URIBE,0.1064622464180789,4539708.416780623,1.1260915310627404,1.1260915310627404
NO2_CLD,NO2,Chronic Lung Disease,LOS MARTIRES,0.0547417927822057,2334271.4042227734,0.5790246901719064,0.5790246901719064
NO2_CLD,NO2,Chronic Lung Disease,TEUSAQUILLO,0.0481996128971575,2055303.130609464,0.5098255739489488,0.5098255739489489
NO2_CLD,NO2,Chronic Lung Disease,BARRIOS UNIDOS,0.0468951941321215,1999680.77577594,0.4960282422779828,0.49602824227798287
NO2_CLD,NO2,Chronic Lung Disease,TUNJUELITO,0.0401700548934868,1712910.843402363,0.4248938956279553,0.42489389562795543
O3_MAIN,O3,Respiratory mortality,SUMAPAZ,1.0479912636319113,25301678566.08172,47.53759112611967,47.53759112611967
O3_MAIN,O3,Respiratory mortality,USME,0.291927242579402,7048006517.562807,13.242016778099213,13.242016778099213
