Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presion,Precipitacion,Precipitacion_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_PM25,grad_PM25,adv_proxy_PM25
ENGATIVA,2020-03-01,34.273371104815865,19.19559659090909,21.35643564356436,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.946236559139785,0.9502688172043012,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-3.7347164132794255,0.0006118984028861983,0.0006426907096120844
FONTIBON,2020-03-01,37.47248226950354,17.485714285714284,27.23048433048433,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.9502688172043012,0.9435483870967742,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-10.458330402935285,0.0007295308319546079,0.0007662427060787753
KENNEDY,2020-03-01,38.65169971671388,18.68236953455571,29.263366336633663,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.952956989247312,0.9502688172043012,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-3.2703770817945497,0.0002028516940441224,0.00021305971477666533
PUENTE ARANDA,2020-03-01,37.35702127659575,17.987659574468083,16.402266288951843,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.9475806451612904,0.9489247311827956,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-6.53010000678,0.0008187092952707324,0.000859908859806937
SAN CRISTOBAL,2020-03-01,28.54950354609929,,19.14794908062235,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,,0.9502688172043012,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,18.597774744591256,0.0007159634199007562,0.0007519925468376975
SUBA,2020-03-01,31.505099329545544,11.891210374639767,26.481177430436276,16.88483870967742,83.02112903225806,0.9353225806451613,,113.815,3.671451612903226,0.9327956989247312,0.918010752688172,0.9509408602150538,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,5.647350040028947,0.00025306763195024164,0.0002366998705934599
TEUSAQUILLO,2020-03-01,29.034045584045582,,21.688210227272727,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,,0.946236559139785,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,20.306235841581593,0.0014292350071279086,0.0015011578010349904
TUNJUELITO,2020-03-01,37.855218522247796,9.212833669151722,20.310098176718093,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.9469086021505377,0.9583333333333334,0.9509408602150538,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-9.007431027334466,0.00044735804643522944,0.00046987025780422805
USAQUEN,2020-03-01,33.31040787623066,,,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,,0.5618279569892473,0.9556451612903226,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-1.5738841467115279,0.0001597915275646894,0.000167832649596977
BARRIOS UNIDOS,2020-04-01,13.598102189781024,8.422238586156112,27.08525547445256,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9430555555555556,0.9513888888888888,0.9513888888888888,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,3.6994715081666936,0.00039473579623450634,0.00035144643724745547
ENGATIVA,2020-04-01,12.566243194192378,9.25550527903469,19.62796052631579,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9208333333333332,0.8444444444444444,0.7652777777777777,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,7.065486567612295,0.0005652225202168651,0.000503236450499749
FONTIBON,2020-04-01,18.376392961876835,10.848613138686131,21.872873900293254,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9513888888888888,0.9472222222222222,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-11.343126197331335,0.0007524346557552944,0.0006699176551741305
KENNEDY,2020-04-01,18.430088495575223,15.013642960812772,21.87973760932945,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9569444444444444,0.9527777777777776,0.9416666666666668,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-1.4751255934867196,0.00016293878465630887,0.00014506983127233366
PUENTE ARANDA,2020-04-01,19.137813884785817,10.513421828908555,12.904558823529412,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9416666666666668,0.9444444444444444,0.9402777777777778,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-9.892699113674363,0.0007590423172040071,0.000675800676417301
SAN CRISTOBAL,2020-04-01,12.564135702746364,,20.322318840579708,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,,0.9583333333333334,0.8597222222222223,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,10.53606082165459,0.00040082448215548273,0.0003568673972790981
SUBA,2020-04-01,15.285531617928457,9.34191419141914,19.872996763062268,17.145,83.34516666666667,0.8963333333333332,,169.60500000000002,5.6535,0.8416666666666667,0.8743055555555557,0.9256944444444444,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-3.819335853413728,0.00020100244168291443,0.0001801651885617856
TEUSAQUILLO,2020-04-01,12.78972099853157,,19.193026706231453,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,,0.9361111111111112,0.9458333333333332,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,12.743146040848968,0.0008665322980671335,0.0007715025893791045
TUNJUELITO,2020-04-01,16.300933046576297,6.028063629777726,16.74963715529753,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9416666666666667,0.9569444444444444,0.942361111111111,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,1.2292389433785136,0.00043894123913069944,0.0003908040165726994
USAQUEN,2020-04-01,15.872913616398243,,23.92107843137255,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,,0.85,0.9486111111111112,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-6.1688638472928705,0.0002188434836857463,0.00019484364830820946
BARRIOS UNIDOS,2020-05-01,6.039820359281437,8.322881355932203,15.335502121640737,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9516129032258064,0.9502688172043012,0.8978494623655914,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,7.252260681164614,0.0005587539902912498,0.0006393227108267945
ENGATIVA,2020-05-01,,,12.083521126760562,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.7258064516129032,0.9543010752688172,0.7298387096774194,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,,,
FONTIBON,2020-05-01,11.90482269503546,12.647265077138847,12.063892806770095,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9583333333333334,0.952956989247312,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-4.095388303779934,0.0004425298053314271,0.0005063397482292166
KENNEDY,2020-05-01,12.915254237288137,17.10646976090014,11.449295774647888,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9556451612903226,0.9543010752688172,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-1.1831254929929145,9.893800168009937e-05,0.00011320422321268143
PUENTE ARANDA,2020-05-01,12.53289855072464,11.830624092888243,6.567092198581561,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9260752688172044,0.9475806451612904,0.9274193548387096,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-4.759522592771541,0.0005443653226388839,0.0006228592901290713
SAN CRISTOBAL,2020-05-01,,,13.59929873772791,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,,0.9583333333333334,0.7002688172043011,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-05-01,7.583818292189397,7.855374592833876,12.45033312955993,16.933064516129033,83.34241935483871,1.1374193548387095,,171.33499999999998,5.526935483870967,0.8252688172043011,0.9509408602150538,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-1.0356889219147778,0.00011821474311590471,0.00013445973684731612
TEUSAQUILLO,2020-05-01,6.799002849002848,,12.266666666666667,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,,0.9475806451612904,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,10.080533058032993,0.0007882490092267683,0.0009019094308797893
TUNJUELITO,2020-05-01,13.124915973111396,7.556143565510203,10.535470085470084,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.948252688172043,0.9435483870967742,0.9502688172043011,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-0.801679158210014,7.199618429737628e-05,8.237756958154633e-05
USAQUEN,2020-05-01,8.09212730318258,,12.311458333333333,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,,0.9032258064516128,0.8024193548387096,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-2.560615954894324,0.00015203035337596043,0.00017395214949178438
BARRIOS UNIDOS,2020-06-01,7.477812995245642,8.904405286343613,12.14361233480176,18.52533333333333,79.155,1.244,,312.54,10.418,0.9458333333333332,0.9458333333333332,0.8763888888888889,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,9.896503597614572,0.0005325350957488017,0.0006624736591115093
ENGATIVA,2020-06-01,8.172455089820359,11.077352941176471,10.141554559043348,18.52533333333333,79.155,1.244,,312.54,10.418,0.9444444444444444,0.9291666666666668,0.9277777777777778,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,5.8103790551445025,0.0005692596408970874,0.0007081589932759767
FONTIBON,2020-06-01,14.04669603524229,13.158200290275762,10.131049562682216,18.52533333333333,79.155,1.244,,312.54,10.418,0.9569444444444444,0.9527777777777776,0.9458333333333332,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-10.150634910661486,0.0007978591542895528,0.0009925367879362037
KENNEDY,2020-06-01,15.013762811127378,16.472992700729925,,18.52533333333333,79.155,1.244,,312.54,10.418,0.9513888888888888,0.6111111111111112,0.9486111111111112,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-5.512932791318947,0.00033656358995905737,0.00041868510590906734
PUENTE ARANDA,2020-06-01,15.35425219941349,11.729742765273311,5.829934210526315,18.52533333333333,79.155,1.244,,312.54,10.418,0.8638888888888889,0.8444444444444444,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-12.11835108558804,0.0009004093927068917,0.0011201092845273732
SAN CRISTOBAL,2020-06-01,6.981229235880399,,10.476350364963505,18.52533333333333,79.155,1.244,,312.54,10.418,,0.9513888888888888,0.8361111111111111,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,13.341207193297349,0.0004945122666258087,0.000615173259682506
SUBA,2020-06-01,8.964446892239625,7.853323485967503,10.400077788007433,15.864333333333333,83.60033333333334,1.2376666666666667,,363.86,12.128666666666668,0.9402777777777778,0.9513888888888888,0.91875,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-1.3383805095414383,0.00013463495929355243,0.0001666332012856534
TEUSAQUILLO,2020-06-01,8.803235294117647,,11.118703976435937,18.52533333333333,79.155,1.244,,312.54,10.418,,0.9430555555555556,0.9444444444444444,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,10.469055347548483,0.0009182524984568565,0.0011423061080803295
TUNJUELITO,2020-06-01,10.127407407407407,7.8177915376676985,9.794027303754266,18.52533333333333,79.155,1.244,,312.54,10.418,0.9472222222222222,0.8138888888888889,0.80625,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,6.967022024199046,0.0007082748639527023,0.0008810939307571617
USAQUEN,2020-06-01,9.904692082111437,,11.055108359133127,18.52533333333333,79.155,1.244,,312.54,10.418,,0.8972222222222223,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-5.099361269028685,0.00019435596274431995,0.000241778817653934
BARRIOS UNIDOS,2020-07-01,5.93328530259366,9.933962264150944,12.1621387283237,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.8548387096774194,0.9301075268817204,0.9327956989247312,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,7.700287768327357,0.000380507033590745,0.00043046392477507836
ENGATIVA,2020-07-01,6.20674318507891,11.143081312410844,10.596191819464034,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.9422043010752688,0.952956989247312,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-0.10344353528295436,3.6009003741894944e-05,4.073663745897599e-05
FONTIBON,2020-07-01,,13.93497191011236,11.559142857142856,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.956989247311828,0.9408602150537636,0.375,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,,,
KENNEDY,2020-07-01,16.473541963015645,16.820956399437414,13.584117647058823,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.9556451612903226,0.913978494623656,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-5.0736317414232275,0.000487393834786018,0.000551383928578892
PUENTE ARANDA,2020-07-01,12.916642958748222,14.450175438596492,6.201555869872702,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.7661290322580645,0.9502688172043012,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-0.9428201550879738,0.000922308754483054,0.0010433989683780872
SAN CRISTOBAL,2020-07-01,4.166372980910426,,10.560623229461756,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,,0.9489247311827956,0.9153225806451613,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,21.75109077415799,0.0008286761656126589,0.0009374733267108371
SUBA,2020-07-01,7.130403904036827,8.605120910384068,10.707078961018233,15.570967741935483,82.87774193548387,1.1588709677419358,,240.54500000000002,7.759516129032258,0.9448924731182796,0.9516129032258065,0.9045698924731183,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-2.4611123024520953,9.642167143274829e-05,0.00011174027568456396
TEUSAQUILLO,2020-07-01,6.376757532281205,,11.078285714285714,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,,0.9408602150537636,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,6.096413196779471,0.0008874435717899075,0.0010039563246023245
TUNJUELITO,2020-07-01,14.95680922585984,8.178028676339796,,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.9240591397849462,0.6653225806451613,0.9381720430107527,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-11.31386977490523,0.0006412156301572807,0.0007254010370843818
USAQUEN,2020-07-01,6.790070921985816,,11.262605752961084,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,,0.7943548387096774,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-1.0997803742480503,6.81988143714404e-05,7.715265870988435e-05
BARRIOS UNIDOS,2020-08-01,8.267663817663816,10.403404255319147,,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9475806451612904,0.521505376344086,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,6.698819887229089,0.0003841282019476154,0.0004283649013331956
ENGATIVA,2020-08-01,8.640735502121641,11.565915492957746,11.557243319268636,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9543010752688172,0.9556451612903226,0.9502688172043012,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,4.065439655506587,0.0005129165452887311,0.0005719846764719818
FONTIBON,2020-08-01,13.948433048433047,12.591845493562232,16.244921316165954,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.939516129032258,0.939516129032258,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-8.961444333258584,0.0008872316932802428,0.0009894064398934838
KENNEDY,2020-08-01,16.47157001414427,16.175386779184247,16.47918424753868,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9556451612903226,0.9556451612903226,0.9502688172043012,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-3.0380180573093156,0.0002944818132680491,0.0003283947188605309
PUENTE ARANDA,2020-08-01,15.089526542324249,14.96237623762376,6.365606936416185,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9502688172043012,0.9301075268817204,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-3.6867279226876324,0.0008501977177730557,0.0009481075839811141
SAN CRISTOBAL,2020-08-01,5.68712011577424,,11.342194092827004,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,,0.9556451612903226,0.928763440860215,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,23.13844788514237,0.0008834592922328534,0.0009851996042738627
SUBA,2020-08-01,8.799716696853611,8.577675840978593,12.766885780978003,16.105806451612903,82.11290322580645,1.0829032258064517,,135.495,4.3708064516129035,0.8790322580645161,0.9556451612903226,0.9495967741935484,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-0.08877615864561683,5.823579487978072e-05,6.306373013271738e-05
TEUSAQUILLO,2020-08-01,7.771549295774648,,7.355539971949509,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,,0.9583333333333334,0.9543010752688172,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,13.99097552109717,0.0009444101528500132,0.0010531696446459664
TUNJUELITO,2020-08-01,17.338732394366197,4.471549295774648,,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.5087365591397849,0.696236559139785,0.9543010752688172,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-14.767980510855832,0.0006552180116186482,0.0007306737632792474
USAQUEN,2020-08-01,9.40197461212976,,,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,,0.3844086021505376,0.952956989247312,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-2.497807819750209,9.862887416078413e-05,0.00010998710257220347
BARRIOS UNIDOS,2020-09-01,10.250224215246636,14.25478645066274,12.95,18.94533333333333,76.04299999999999,1.134,,119.27,3.975666666666667,0.9430555555555556,0.9388888888888888,0.9291666666666668,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,8.638442643478944,0.0005444318893823612,0.0006173857625595975
ENGATIVA,2020-09-01,10.398104956268222,15.964212076583213,10.434110787172012,18.94533333333333,76.04299999999999,1.134,,119.27,3.975666666666667,0.9430555555555556,0.9527777777777776,0.9527777777777776,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,5.146987853463729,0.0006104443239519035,0.0006922438633614585
FONTIBON,2020-09-01,16.853914327917284,16.54246376811594,16.811014492753625,18.94533333333333,76.04299999999999,1.134,,119.27,3.975666666666667,0.9583333333333334,0.9583333333333334,0.9402777777777778,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-12.622902419807728,0.0009851992904259144,0.0011172159953429868
KENNEDY,2020-09-01,18.303571428571427,19.423460410557183,19.125766871165645,18.94533333333333,76.04299999999999,1.134,,119.27,3.975666666666667,0.9472222222222222,0.9055555555555556,0.9333333333333332,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-6.960924818443596,0.00055065172199593,0.0006244390527433846
