Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presion,Precipitacion,Precipitacion_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_PM25,grad_PM25,adv_proxy_PM25,PM25_lag1,diff_PM25_lag1,adv_proxy_PM25_lag1,Vel_viento_lag1,Temp_media_lag1,HR_lag1,Precipitacion_lag1,Presion_lag1
TUNJUELITO,2022-04-01,17.479032258064517,11.251351351351351,12.662940275650842,18.88,81.47,0.995,,260.12,8.670666666666667,0.8736111111111111,0.9069444444444444,0.8611111111111112,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,1.1017065715494052,0.0002890731523148,0.0002876277865532,19.967741935483872,5.924138373862586,0.0003234365794055,0.8858064516129033,18.86483870967741,81.53903225806452,199.88,
TUNJUELITO,2022-05-01,25.383683560523384,9.89496183206107,8.30822695035461,18.71741935483871,80.96806451612903,0.9874193548387096,,319.0,10.290322580645162,0.8803763440860215,0.9475806451612904,0.885752688172043,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-37.43354902161256,0.0018972417862222,0.0018733732605245,17.479032258064517,1.1017065715494052,0.0002876277865532,0.995,18.88,81.47,260.12,
TUNJUELITO,2022-06-01,26.83309037900875,,8.753216374269005,17.939666666666668,81.945,0.9073333333333332,,207.29,6.909666666666666,0.6111111111111112,0.95,0.9527777777777776,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-37.02376448484764,0.0018679523006675,0.0016948553874723,25.383683560523384,-37.43354902161256,0.0018733732605245,0.9874193548387096,18.71741935483871,80.96806451612903,319.0,
TUNJUELITO,2022-07-01,15.37,,11.847714285714286,18.19483870967742,79.52129032258064,1.1383870967741936,,228.31,7.36483870967742,0.168010752688172,0.9408602150537636,0.674731182795699,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-13.495848235480295,0.0006639961836049,0.0007558846877231,26.83309037900875,-37.02376448484764,0.0016948553874723,0.9073333333333332,17.939666666666668,81.945,207.29,
TUNJUELITO,2022-08-01,16.91235632183908,11.7419881305638,15.26235294117647,18.116774193548387,77.78548387096774,1.2158064516129032,,162.59,5.24483870967742,0.9059139784946236,0.913978494623656,0.5349462365591398,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-14.214685086339363,0.0010324966885852,0.0012553161352508,15.37,-13.495848235480295,0.0007558846877231,1.1383870967741936,18.19483870967742,79.52129032258064,228.31,
TUNJUELITO,2022-09-01,23.28341384863124,17.64448051948052,16.654619124797406,18.666,78.09733333333334,1.0056666666666667,,135.09,4.503,0.8555555555555555,0.8569444444444444,0.8625,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-15.735572977906832,0.0011279606549177,0.0011343524319622,16.91235632183908,-14.214685086339363,0.0012553161352508,1.2158064516129032,18.116774193548387,77.78548387096774,162.59,
TUNJUELITO,2022-10-01,22.70521861777151,16.43905325443787,14.5671388101983,18.324193548387097,83.24870967741936,1.0612903225806452,,252.6,8.148387096774194,0.9086021505376344,0.9489247311827956,0.952956989247312,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-20.024344892389124,0.0010274398301366,0.0010904119487579,23.28341384863124,-15.735572977906832,0.0011343524319622,1.0056666666666667,18.666,78.09733333333334,135.09,
TUNJUELITO,2022-11-01,24.37254901960784,15.89775112443778,11.661988304093567,17.981333333333332,87.00733333333332,0.9713333333333334,,179.19,5.973,0.9263888888888888,0.95,0.9208333333333332,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-19.267010627739428,0.0009773148677285,0.0009492985081869,22.70521861777151,-20.024344892389124,0.0010904119487579,1.0612903225806452,18.324193548387097,83.24870967741936,252.6,
TUNJUELITO,2022-12-01,24.80205278592376,14.388005997001498,15.36529411764706,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.896505376344086,0.913978494623656,0.9166666666666666,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-7.682338736231511,0.000875983238737,0.0008231416691745,24.37254901960784,-19.267010627739428,0.0009492985081869,0.9713333333333334,17.981333333333332,87.00733333333332,179.19,
TUNJUELITO,2023-01-01,23.427762039660056,14.201490312965724,15.46916548797737,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9018817204301076,0.9502688172043012,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-14.049542089755937,0.0008522894905154,0.0008234216206754,24.80205278592376,-7.682338736231511,0.0008231416691745,0.9396774193548388,18.003548387096775,82.19999999999999,70.75,
TUNJUELITO,2023-02-01,25.1244094488189,14.01309148264984,16.780125195618155,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9434523809523808,0.9508928571428572,0.9449404761904762,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-2.958032171914727,0.0008604522299799,0.0008515404033123,23.427762039660056,-14.049542089755937,0.0008234216206754,0.9661290322580643,17.54,82.15516129032258,181.32,
TUNJUELITO,2023-03-01,27.661931818181817,12.66735598227474,15.85272206303725,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9099462365591398,0.9381720430107529,0.946236559139785,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-13.6237409266334,0.0011213281645653,0.0009766406594601,25.1244094488189,-2.958032171914727,0.0008515404033123,0.9896428571428572,18.75321428571429,78.37249999999999,54.03,
