Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_NO2,grad_NO2,adv_proxy_NO2
FONTIBON,2021-05-01,12.296,,,20.941129032258065,77.95629032258066,1.3043548387096773,,77.845,2.5111290322580646,0.6384408602150538,0.6397849462365591,0.7190860215053764,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,,,
KENNEDY,2021-05-01,14.54644012944984,16.324473257698543,13.524306688417616,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.8293010752688172,0.8239247311827957,0.8306451612903226,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-7.423204363256906,0.0006362121864579282,0.0007505251502827882
PUENTE ARANDA,2021-05-01,16.8084375,14.103267045454546,5.368803418803419,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.946236559139785,0.9435483870967742,0.8602150537634409,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-0.7595857265249144,0.0005106615655433933,0.0006024159178039321
SAN CRISTOBAL,2021-05-01,6.964438122332859,11.144880785413743,9.540084388185656,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.9583333333333334,0.9556451612903226,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,2.935980581312693,0.00016549541273875646,0.00019523120141472014
SUBA,2021-05-01,8.602502649532353,8.263161544930862,9.612450759342767,17.497311827956988,81.02559139784947,1.1595698924731181,,36.626666666666665,1.181505376344086,0.9117383512544803,0.8118279569892474,0.8046594982078853,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,6.922938802757912,0.00035169691431476786,0.00040781715311510283
TEUSAQUILLO,2021-05-01,9.324737631184409,,10.492220650636492,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,,0.9502688172043012,0.896505376344086,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2021-05-01,17.10273492286115,11.122475106685634,9.649929478138224,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.9448924731182796,0.952956989247312,0.9563172043010753,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,8.20519576850993,0.0004581582259864598,0.000540478913687898
USAQUEN,2021-05-01,,7.429320113314448,13.38960113960114,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.9489247311827956,0.9435483870967742,,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,10.258304529223565,0.0003569579603920424,0.00042109524553345134
BARRIOS UNIDOS,2021-06-01,8.479017857142857,12.363450292397662,9.027086383601755,18.355666666666664,79.12733333333334,1.1006666666666665,,196.89,6.563,0.95,0.9486111111111112,0.9333333333333332,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,3.8226968153564638,0.00041641495121183406,0.00045833405630049196
ENGATIVA,2021-06-01,11.029852777124132,16.285425480874082,9.57267441860465,18.355666666666664,79.12733333333334,1.1006666666666665,,196.89,6.563,0.8937499999999999,0.9555555555555556,0.9409722222222221,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-10.894429648766858,0.0006198102730587854,0.0006822045072133697
FONTIBON,2021-06-01,12.814032496307238,14.546355685131196,12.65872093023256,19.922666666666665,80.156,1.2965,,200.82,6.694,0.5881944444444444,0.9555555555555556,0.83125,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,1.7633579194929734,0.0005219996762650682,0.000676772580277661
