Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_O3,grad_O3,adv_proxy_O3
TEUSAQUILLO,2023-03-01,18.987323943661973,20.97917847025496,,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9489247311827956,,0.9543010752688172,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2023-03-01,27.661931818181817,12.66735598227474,15.85272206303725,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9099462365591398,0.9381720430107529,0.946236559139785,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-3.581856146645686,0.0010731947972544072,0.0009347180492215804
USAQUEN,2023-03-01,16.43392330383481,12.703506097560975,20.3301824212272,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.8817204301075269,0.8104838709677419,0.9112903225806452,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-21.861364662279975,0.0008919462479788704,0.000776856409529984
BARRIOS UNIDOS,2023-04-01,16.571428571428573,14.608479532163743,11.196148148148149,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.95,0.9375,0.9527777777777776,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-7.137429921706203,0.0005194189124501428,0.00046730388156764513
CIUDAD BOLIVAR,2023-04-01,18.904824561403508,,,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,,,0.95,1.0,1.0,1.0,0.0,1.0,990627.3993600724,987422.5313793835,,,
ENGATIVA,2023-04-01,16.983352374907437,16.17134328358209,9.841873673860167,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9305555555555556,0.9458333333333333,0.9548611111111112,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,1.3542744742879815,0.0002412312077755239,0.00021702767659537967
FONTIBON,2023-04-01,19.54676599158502,20.637778925131922,,20.387166666666666,83.339,1.026333333333333,,214.26,7.1419999999999995,0.9479166666666667,0.6611111111111111,0.9458333333333333,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,,,
KENNEDY,2023-04-01,21.234131736526944,23.041002949852505,16.24948905109489,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9416666666666668,0.9513888888888888,0.9277777777777778,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-14.211022004680938,0.0013876927806292301,0.0012484609383060974
PUENTE ARANDA,2023-04-01,16.46676342525399,18.88097345132743,5.412992700729927,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9416666666666668,0.9513888888888888,0.9569444444444444,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,18.298467046413954,0.001825860529043694,0.0016426658559629765
SAN CRISTOBAL,2023-04-01,13.551824817518249,12.656768558951969,6.217708333333333,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9541666666666668,0.9333333333333332,0.9513888888888888,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,5.852539430842177,0.0004467656149885242,0.0004019401316180089
SUBA,2023-04-01,14.642281768959991,14.96354875282084,10.722693997071742,17.136333333333333,85.46033333333332,0.8695555555555555,,225.11333333333332,7.503777777777777,0.9212962962962963,0.7407407407407408,0.937037037037037,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,7.092525269128899,0.00048153634402320306,0.00041872260314728744
TEUSAQUILLO,2023-04-01,15.074235807860262,18.38424153166421,,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9430555555555556,,0.9541666666666668,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
