fecha,origen,destino,estado,motivo
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_pm25_todas_las_causas_v3.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_pm25_todas_las_causas_v3.pdf,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\morbilidad_por_celda.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\figuras_complementarias_sumapaz\morbilidad_por_celda.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_con_sumapaz.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\figuras_complementarias_sumapaz\panorama_morbilidad_con_sumapaz.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_por_localidad.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\figuras_complementarias_sumapaz\panorama_morbilidad_por_localidad.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_sin_sumapaz.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\figuras_complementarias_sumapaz\panorama_morbilidad_sin_sumapaz.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_tasa_100k_CORREGIDO.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\figuras_complementarias_sumapaz\panorama_morbilidad_tasa_100k_CORREGIDO.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_total_CORREGIDO.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\figuras_complementarias_sumapaz\panorama_morbilidad_total_CORREGIDO.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\auditoria_agregacion_por_localidad.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\auditoria_agregacion_por_localidad.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\auditoria_agregacion_por_localidad_CORREGIDA.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\auditoria_agregacion_por_localidad_CORREGIDA.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\control_pesos_area_por_celda.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\control_pesos_area_por_celda.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\detalle_localidad_contaminante_endpoint.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\detalle_localidad_contaminante_endpoint.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\detalle_localidad_contaminante_endpoint_CORREGIDO.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\detalle_localidad_contaminante_endpoint_CORREGIDO.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\diagnostico_dominancia_espacial_sumapaz.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\diagnostico_dominancia_espacial_sumapaz.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_por_localidad.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\panorama_morbilidad_por_localidad.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\panorama_morbilidad_por_localidad_CORREGIDO.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\panorama_morbilidad_por_localidad_CORREGIDO.csv,COPIADO,
