Endpoint Group,Endpoint,Race,Ethnicity,Gender,Start Age,End Age,Column,Row,Value,Type
Mortality,Respiratory mortality,,,,0,99,10,18,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,18,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,18,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,18,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,19,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,19,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,19,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,19,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,20,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,20,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,20,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,20,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,21,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,21,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,21,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,21,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,22,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,22,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,22,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,22,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,22,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,23,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,23,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,23,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,23,0.0001320424481591,
