cell_id,year,endpoint_code,age_group,incidence_rate,count_basis_citywide_2026,population_basis_citywide_2026,incidence_source,incidence_method
360,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
361,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
379,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
380,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
381,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
382,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
383,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
384,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
385,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
386,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
387,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
388,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
389,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
390,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
391,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
392,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
393,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
394,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
395,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
396,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
397,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
398,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
400,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
401,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
402,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
403,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
