run_id,pollutant,endpoint_group,endpoint,start_age,end_age,cell_id,Row,Column,concentration_baseline,concentration_control,delta_concentration,population_target,incidence_target,beta,beta_se,economic_method,valuation_parameter_name,valuation_value_fixed,climate_scenario,climate_multiplier,climate_note,concentration_baseline_clim,concentration_control_clim,delta_concentration_clim,rr,af_avoided,baseline_cases,avoided_cases,valuation_value_used_usd_2015,economic_value_usd_2015,economic_value_cop_2015
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,213,9,6,12.137307103931589,10.92357639353843,1.2137307103931594,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,12.137307103931589,10.92357639353843,1.2137307103931594,1.0010528583925802,0.0010517510476628633,11.669383398508621,0.012273286214961068,8705114.0,106840.3556558646,296314247.58664453
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,213,9,6,12.137307103931589,10.92357639353843,1.2137307103931594,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.957903169521325,12.562112852569193,1.395790316952132,1.001210882732016,0.0012094182683192178,11.669383398508621,0.014113165462177326,8705114.0,122856.71424911631,340734496.9999266
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,254,9,7,12.179126791977902,10.961214112780112,1.2179126791977897,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.961214112780112,9.865092701502101,1.0961214112780109,1.0009507889771174,0.0009498858361348672,11.669383398508621,0.0110845820066707,8705114.0,96492.5500104172,267615332.97539136
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,254,9,7,12.179126791977902,10.961214112780112,1.2179126791977897,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,12.179126791977902,10.961214112780112,1.2179126791977897,1.001056487983533,0.0010553729946460866,11.669383398508621,0.01231555210295737,8705114.0,107208.28502918365,297334673.9484888
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,254,9,7,12.179126791977902,10.961214112780112,1.2179126791977897,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,14.005995810774586,12.605396229697128,1.4005995810774579,1.0012150574216516,0.001213582848804351,11.669383398508621,0.014161763548552291,8705114.0,123279.76613119223,341907801.7812324
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,295,9,8,11.381535165023204,10.243381648520884,1.1381535165023209,58101,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.243381648520883,9.219043483668797,1.024338164852086,1.0008884956675579,0.0008877069437843721,7.671798280491869,0.006810308604905638,8705114.0,59284.512780884535,164421446.28188857
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,295,9,8,11.381535165023204,10.243381648520884,1.1381535165023209,58101,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.381535165023204,10.243381648520884,1.138153516502319,1.0009872661254853,0.0009862923924163214,7.671798280491869,0.007566636280201746,8705114.0,65868.43141569215,182681483.74122307
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,295,9,8,11.381535165023204,10.243381648520884,1.1381535165023209,58101,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.088765439776683,11.779888895799017,1.3088765439776662,1.001135440088195,0.0011341523261778619,7.671798280491869,0.008700987865787173,8705114.0,75743.09128429405,210068161.66059962
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,91,10,3,11.899613150196764,10.709651835177088,1.1899613150196764,5057,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.709651835177088,9.638686651659379,1.0709651835177088,1.0009289580285865,0.0009280958664800165,0.6677386603405686,0.0006197254905509855,8705114.0,5394.781043952251,14962047.59072849
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,91,10,3,11.899613150196764,10.709651835177088,1.1899613150196764,5057,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.899613150196764,10.709651835177088,1.1899613150196764,1.0010322288419846,0.001031164444304511,0.6677386603405686,0.000688548364630721,8705114.0,5993.892008623994,16623639.913478043
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,91,10,3,11.899613150196764,10.709651835177088,1.1899613150196764,5057,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.684555122726277,12.31609961045365,1.368455512272627,1.001187155040481,0.0011857473745086056,0.6677386603405686,0.0007917693633567227,8705114.0,6892.442569727694,19115706.996159878
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,132,10,4,11.995359489802338,10.795823540822106,1.1995359489802322,82710,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.795823540822104,9.716241186739895,1.0795823540822092,1.0009364360837267,0.0009355599915920054,10.92123088723916,0.010217466677039818,8705114.0,88944.2122148328,246680546.48298374
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,132,10,4,11.995359489802338,10.795823540822106,1.1995359489802322,82710,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.995359489802338,10.795823540822106,1.1995359489802322,1.0010405386528651,0.0010394570576187645,10.92123088723916,0.011352150523624786,8705114.0,98821.76445331346,274075246.18775314
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,132,10,4,11.995359489802338,10.795823540822106,1.1995359489802322,82710,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.794663413272687,12.415197071945421,1.3794663413272659,1.001196712807936,0.0011952823981808969,10.92123088723916,0.013053955045986507,8705114.0,113636.1668261878,315161954.16075397
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,173,10,5,12.134719601803534,10.92124764162318,1.2134719601803532,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.92124764162318,9.829122877460863,1.0921247641623175,1.0009473205955048,0.0009464240285306236,11.669515440956781,0.011044309814630632,8705114.0,96141.97598767852,266643040.46350724
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,173,10,5,12.134719601803534,10.92124764162318,1.2134719601803532,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,12.134719601803534,10.92124764162318,1.2134719601803532,1.0010526338199766,0.0010515269471492728,11.669515440956781,0.012270809946340583,8705114.0,106818.79945522865,296254462.9731148
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,173,10,5,12.134719601803534,10.92124764162318,1.2134719601803532,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.954927542074063,12.559434787866657,1.3954927542074067,1.0012106244327579,0.0012091605934003713,11.669515440956781,0.014110318215282096,8705114.0,122831.92864030719,340665755.84888715
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,214,10,6,11.946521175069984,10.751869057562986,1.1946521175069975,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.751869057562986,9.676682151806688,1.0751869057562988,1.0009326216686754,0.0009317526959211619,11.669515440956781,0.010873102472205107,8705114.0,94651.59655422729,262509577.43139058
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,214,10,6,11.946521175069984,10.751869057562986,1.1946521175069975,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.946521175069984,10.751869057562986,1.1946521175069975,1.0010362999740179,0.001035227168130315,11.669515440956781,0.012080599423394671,8705114.0,105162.99516898488,291662205.6915177
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,214,10,6,11.946521175069984,10.751869057562986,1.1946521175069975,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.73849935133048,12.364649416197434,1.3738499351330464,1.001191837568333,0.0011904187825060308,11.669515440956781,0.013891610363659098,8705114.0,120928.0518592339,335385486.8679551
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,255,10,7,12.06152787781093,10.855375090029836,1.2061527877810931,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.855375090029836,9.769837581026852,1.0855375090029842,1.0009416040513155,0.0009407182671841152,11.669383398508621,0.010977602129752111,8705114.0,95561.27798613493,265032515.20508617
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,255,10,7,12.06152787781093,10.855375090029836,1.2061527877810931,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,12.06152787781093,10.855375090029836,1.2061527877810931,1.0010462814379395,0.0010451878772642642,11.669383398508621,0.012196698063270072,8705114.0,106173.64706434519,294465177.97766685
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,255,10,7,12.06152787781093,10.855375090029836,1.2061527877810931,88376,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.870757059482568,12.483681353534312,1.3870757059482557,1.001203318043947,0.0012018718099116033,11.669383398508621,0.014025102945717972,8705114.0,122090.12000421075,338608401.5232782
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,296,10,8,11.503509459132944,10.35315851321965,1.150350945913294,88049,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.35315851321965,9.317842661897686,1.0353158513219647,1.000898021823455,0.0008972161038135473,11.626205517960596,0.01043121881696017,8705114.0,90804.94896058342,251841169.59575087
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,296,10,8,11.503509459132944,10.35315851321965,1.150350945913294,88049,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.503509459132944,10.35315851321965,1.150350945913294,1.0009978517932654,0.0009968570776428543,11.626205517960596,0.011589665256709427,8705114.0,100889.35728149483,279809570.1652162
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,296,10,8,11.503509459132944,10.35315851321965,1.150350945913294,88049,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.229035878002884,11.906132290202597,1.3229035878002868,1.0011476154178185,0.0011462999063724943,11.626205517960596,0.013327118296705609,8705114.0,116014.08406430815,321756941.1664741
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,337,10,9,11.722310857005958,10.55007977130536,1.1722310857005969,12381,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.550079771305363,9.495071794174823,1.0550079771305398,1.0009151103744,0.0009142737130402034,1.634817550657817,0.0014946707121832133,8705114.0,13011.27894201606,36085871.356155604
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,337,10,9,11.722310857005958,10.55007977130536,1.1722310857005969,12381,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.722310857005958,10.55007977130536,1.1722310857005986,1.0010168409839033,0.001015808068627222,1.634817550657817,0.0016606608586916028,8705114.0,14456.242090248294,40093375.50035732
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,337,10,9,11.722310857005958,10.55007977130536,1.1722310857005969,12381,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.48065748555685,12.132591737001162,1.3480657485556886,1.0011694562853395,0.0011680902548492078,1.634817550657817,0.0019096144493798472,8705114.0,16623.4114778988,46103868.09514887
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,133,11,4,11.67790965431858,10.510118688886724,1.1677909654318557,71305,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.510118688886722,9.459106819998052,1.0510118688886703,1.0009116425840465,0.0009108122488143966,9.415286765984625,0.008575558512558883,8705114.0,74651.2144654955,207039917.73503917
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,133,11,4,11.67790965431858,10.510118688886724,1.1677909654318557,71305,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático central,1.0,Escenario de referencia,11.67790965431858,10.510118688886724,1.1677909654318555,1.0010129874926323,0.0010119623873908745,9.415286765984625,0.009527916073675508,8705114.0,82941.59560377769,230032709.49538514
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,133,11,4,11.67790965431858,10.510118688886724,1.1677909654318557,71305,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático desfavorable,1.15,Mayor formación fotoquímica,13.429596102466366,12.086636492219732,1.3429596102466341,1.0011650240960277,0.0011636683943085924,9.415286765984625,0.010956271632928269,8705114.0,95375.59357960674,264517532.5014887
O3_MAIN,O3,Mortality,Respiratory mortality,0,99,174,11,5,11.769038525209217,10.592134672688296,1.1769038525209208,88377,0.0001320424481591,0.000867,0.000304,VSL,VSL_2015_USD,,Escenario climático favorable,0.9,Menor formación fotoquímica,10.592134672688296,9.532921205419466,1.0592134672688296,1.0009187598776421,0.000917916532760743,11.669515440956781,0.010711641152561001,8705114.0,93246.0573601349,258611412.86431894
